Дата операции;Категория;Описание операции;Сумма;Валюта
14.05.2026;Развлечения;ЯНДЕКС ПЛЮС;-299,00;RUB
18.05.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-4505,06;RUB
20.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-227,75;RUB
20.05.2026;Прочие операции;CLOUD.MAIL.RU MOSCOW RUS;-199,00;RUB
22.05.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
24.05.2026;Аптеки;APTEKA.RU;-240,97;RUB
30.05.2026;Транспорт;AZS GAZPROMNEFT 112;-879,56;RUB
01.06.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-2655,17;RUB
03.06.2026;Аптеки;APTEKA ZHIVIKA 45;-1330,27;RUB
03.06.2026;Маркетплейсы;OZON.RU MOSCOW;-5885,27;RUB
03.06.2026;Книги;LITRES.RU MOSCOW;-299,00;RUB
05.06.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
10.06.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
12.06.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-1177,22;RUB
15.06.2026;Маркетплейсы;OZON.RU MOSCOW;-909,74;RUB
15.06.2026;Развлечения;YANDEX.PLUS MOSCOW RUS;-299,00;RUB
18.06.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-4391,06;RUB
18.06.2026;Аптеки;APTEKA ZHIVIKA 45;-924,24;RUB
19.06.2026;Аптеки;APTEKA ZHIVIKA 45;-1686,97;RUB
22.06.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
22.06.2026;Прочие операции;Cloud Mail.ru;-199,00;RUB
23.06.2026;Транспорт;AZS GAZPROMNEFT 112;-1469,44;RUB
28.06.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-630,86;RUB
30.06.2026;Аптеки;APTEKA.RU;-1754,01;RUB
03.07.2026;Книги;LITRES.RU MOSCOW;-299,00;RUB
05.07.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
09.07.2026;Транспорт;YANDEX GO MOSCOW RUS;-1646,74;RUB
10.07.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
11.07.2026;Кафе и рестораны;VKUSNO I TOCHKA 0452;-290,91;RUB
12.07.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-976,57;RUB
14.07.2026;Развлечения;Yandex Plus;-299,00;RUB
17.07.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-638,88;RUB
18.07.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-5520,24;RUB
19.07.2026;Кафе и рестораны;COFFEE LIKE EKB;-1300,56;RUB
20.07.2026;Прочие операции;CLOUD.MAIL.RU MOSCOW RUS;-199,00;RUB
21.07.2026;Маркетплейсы;OZON.RU MOSCOW;-1850,46;RUB
22.07.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
22.07.2026;Аптеки;APTEKA ZHIVIKA 45;-1145,62;RUB
24.07.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-1961,04;RUB
28.07.2026;Аптеки;APTEKA.RU;-596,37;RUB
30.07.2026;Транспорт;EKARTA POPOLNENIE;-2877,63;RUB
02.08.2026;Маркетплейсы;OZON.RU MOSCOW;-2510,07;RUB
03.08.2026;Книги;LITRES.RU MOSCOW;-299,00;RUB
05.08.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
05.08.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-735,06;RUB
05.08.2026;Аптеки;APTEKA ZHIVIKA 45;-453,01;RUB
10.08.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
10.08.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-2243,76;RUB
12.08.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-1286,22;RUB
14.08.2026;Развлечения;ЯНДЕКС ПЛЮС;-299,00;RUB
18.08.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-5388,74;RUB
19.08.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-2089,40;RUB
20.08.2026;Прочие операции;Cloud Mail.ru;-199,00;RUB
22.08.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
22.08.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-2564,37;RUB
24.08.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-607,74;RUB
01.09.2026;Кафе и рестораны;VKUSNO I TOCHKA 0452;-666,77;RUB
02.09.2026;Аптеки;APTEKA.RU;-548,08;RUB
