Дата операции;Категория;Описание операции;Сумма;Валюта
24.04.2026;Прочие операции;SBERPRIME MOSCOW RUS;-399,00;RUB
26.04.2026;Транспорт;EKARTA POPOLNENIE;-1076,20;RUB
27.04.2026;Прочие операции;APPLE.COM/BILL ITUNES.COM;-199,00;RUB
29.04.2026;Аптеки;APTEKA ZHIVIKA 45;-1654,37;RUB
01.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-2320,65;RUB
04.05.2026;Развлечения;KINOPOISK MOSCOW RUS;-399,00;RUB
04.05.2026;Развлечения;OKKO.TV MOSCOW RUS;-499,00;RUB
05.05.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
06.05.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-606,70;RUB
06.05.2026;Аптеки;APTEKA ZHIVIKA 45;-355,21;RUB
06.05.2026;Развлечения;PREMIER.ONE MOSCOW;-599,00;RUB
08.05.2026;Транспорт;EKARTA POPOLNENIE;-927,32;RUB
08.05.2026;Развлечения;START.RU MOSCOW RUS;-399,00;RUB
10.05.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
10.05.2026;Аптеки;APTEKA.RU;-1564,22;RUB
11.05.2026;Развлечения;IVI.RU MOSCOW RUS;-399,00;RUB
12.05.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-1368,64;RUB
13.05.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-1780,02;RUB
13.05.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-898,69;RUB
13.05.2026;Развлечения;ZVUK.COM MOSCOW;-299,00;RUB
15.05.2026;Развлечения;VK MUSIC MOSCOW RUS;-299,00;RUB
16.05.2026;Аптеки;APTEKA ZHIVIKA 45;-1224,21;RUB
18.05.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-3912,97;RUB
18.05.2026;Прочие операции;YANDEX.DISK MOSCOW RUS;-249,00;RUB
19.05.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-1043,78;RUB
19.05.2026;Прочие операции;CLOUD.MAIL.RU MOSCOW RUS;-399,00;RUB
21.05.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-1874,03;RUB
21.05.2026;Кафе и рестораны;COFFEE LIKE EKB;-196,68;RUB
21.05.2026;Спорт;FITMOST.COM MOSCOW;-3990,00;RUB
22.05.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
24.05.2026;Транспорт;AZS GAZPROMNEFT 112;-375,01;RUB
24.05.2026;Транспорт;YANDEX GO MOSCOW RUS;-3105,93;RUB
25.05.2026;Маркетплейсы;OZON.RU MOSCOW;-3076,40;RUB
25.05.2026;Прочие операции;SBERPRIME MOSCOW RUS;-399,00;RUB
26.05.2026;Кафе и рестораны;VKUSNO I TOCHKA 0452;-1026,28;RUB
27.05.2026;Прочие операции;APPLE.COM/BILL ITUNES.COM;-199,00;RUB
31.05.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-1812,82;RUB
02.06.2026;Развлечения;KINOPOISK HD;-399,00;RUB
03.06.2026;Аптеки;APTEKA.RU;-1204,40;RUB
04.06.2026;Развлечения;OKKO.TV MOSCOW RUS;-499,00;RUB
05.06.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
05.06.2026;Аптеки;APTEKA.RU;-1090,02;RUB
08.06.2026;Развлечения;PREMIER.ONE MOSCOW;-599,00;RUB
08.06.2026;Развлечения;ООО СТАРТ;-399,00;RUB
10.06.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
11.06.2026;Развлечения;IVI.RU MOSCOW RUS;-399,00;RUB
12.06.2026;Маркетплейсы;OZON.RU MOSCOW;-808,74;RUB
13.06.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-516,68;RUB
14.06.2026;Кафе и рестораны;COFFEE LIKE EKB;-476,83;RUB
15.06.2026;Развлечения;SBERZVUK;-299,00;RUB
15.06.2026;Развлечения;ВК МУЗЫКА;-299,00;RUB
17.06.2026;Прочие операции;YANDEX.DISK MOSCOW RUS;-399,00;RUB
18.06.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-4673,87;RUB
19.06.2026;Транспорт;AZS GAZPROMNEFT 112;-1781,48;RUB
19.06.2026;Прочие операции;CLOUD.MAIL.RU MOSCOW RUS;-399,00;RUB
20.06.2026;Аптеки;APTEKA.RU;-1114,12;RUB
21.06.2026;Супермаркеты;MAGNIT MM EKATERINBURG RUS;-1780,07;RUB
22.06.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
22.06.2026;Транспорт;EKARTA POPOLNENIE;-136,57;RUB
22.06.2026;Спорт;FITMOST.COM MOSCOW;-3990,00;RUB
23.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-1523,74;RUB
23.06.2026;Транспорт;AZS GAZPROMNEFT 112;-1574,27;RUB
24.06.2026;Прочие операции;SBERPRIME MOSCOW RUS;-399,00;RUB
25.06.2026;Маркетплейсы;OZON.RU MOSCOW;-902,72;RUB
26.06.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-2028,42;RUB
29.06.2026;Аптеки;APTEKA.RU;-296,18;RUB
29.06.2026;Прочие операции;APPLE.COM/BILL ITUNES.COM;-199,00;RUB
30.06.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-1376,48;RUB
30.06.2026;Кафе и рестораны;COFFEE LIKE EKB;-492,62;RUB
01.07.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-2035,30;RUB
01.07.2026;Аптеки;APTEKA.RU;-261,90;RUB
01.07.2026;Кафе и рестораны;COFFEE LIKE EKB;-974,84;RUB
02.07.2026;Развлечения;KINOPOISK MOSCOW RUS;-399,00;RUB
03.07.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-2267,29;RUB
04.07.2026;Аптеки;APTEKA.RU;-902,56;RUB
05.07.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
06.07.2026;Маркетплейсы;OZON.RU MOSCOW;-4195,26;RUB
06.07.2026;Развлечения;OKKO.TV MOSCOW RUS;-499,00;RUB
06.07.2026;Развлечения;PREMIER.ONE MOSCOW;-599,00;RUB
08.07.2026;Развлечения;START.RU MOSCOW RUS;-399,00;RUB
10.07.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
12.07.2026;Маркетплейсы;OZON.RU MOSCOW;-4013,71;RUB
13.07.2026;Развлечения;IVI.RU MOSCOW RUS;-399,00;RUB
13.07.2026;Развлечения;ZVUK.COM MOSCOW;-299,00;RUB
15.07.2026;Развлечения;VK MUSIC MOSCOW RUS;-299,00;RUB
17.07.2026;Прочие операции;YANDEX.DISK MOSCOW RUS;-399,00;RUB
18.07.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-5557,65;RUB
18.07.2026;Маркетплейсы;OZON.RU MOSCOW;-3080,14;RUB
19.07.2026;Аптеки;APTEKA.RU;-906,04;RUB
20.07.2026;Прочие операции;CLOUD.MAIL.RU MOSCOW RUS;-399,00;RUB
21.07.2026;Спорт;FITMOST.COM MOSCOW;-3990,00;RUB
22.07.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
24.07.2026;Прочие операции;SBERPRIME MOSCOW RUS;-399,00;RUB
26.07.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-2243,55;RUB
27.07.2026;Прочие операции;APPLE.COM/BILL ITUNES.COM;-199,00;RUB
28.07.2026;Транспорт;YANDEX GO MOSCOW RUS;-2452,61;RUB
31.07.2026;Транспорт;AZS GAZPROMNEFT 112;-1927,87;RUB
31.07.2026;Аптеки;APTEKA ZHIVIKA 45;-1799,32;RUB
02.08.2026;Транспорт;AZS GAZPROMNEFT 112;-2645,48;RUB
03.08.2026;Развлечения;KINOPOISK HD;-399,00;RUB
04.08.2026;Развлечения;OKKO.TV MOSCOW RUS;-499,00;RUB
05.08.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
05.08.2026;Маркетплейсы;OZON.RU MOSCOW;-4664,07;RUB
06.08.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-573,28;RUB
06.08.2026;Развлечения;PREMIER.ONE MOSCOW;-599,00;RUB
09.08.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-886,73;RUB
10.08.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
10.08.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-502,87;RUB
10.08.2026;Развлечения;ООО СТАРТ;-399,00;RUB
11.08.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-2148,46;RUB
11.08.2026;Развлечения;IVI.RU MOSCOW RUS;-399,00;RUB
13.08.2026;Развлечения;SBERZVUK;-299,00;RUB
16.08.2026;Аптеки;APTEKA.RU;-1189,30;RUB
17.08.2026;Развлечения;ВК МУЗЫКА;-299,00;RUB
17.08.2026;Прочие операции;YANDEX.DISK MOSCOW RUS;-399,00;RUB
18.08.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-5777,59;RUB
19.08.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-769,95;RUB
19.08.2026;Аптеки;APTEKA ZHIVIKA 45;-885,97;RUB
19.08.2026;Транспорт;EKARTA POPOLNENIE;-2611,80;RUB
19.08.2026;Прочие операции;CLOUD.MAIL.RU MOSCOW RUS;-399,00;RUB
21.08.2026;Транспорт;AZS GAZPROMNEFT 112;-2563,14;RUB
21.08.2026;Маркетплейсы;OZON.RU MOSCOW;-3497,47;RUB
21.08.2026;Спорт;FITMOST.COM MOSCOW;-3990,00;RUB
22.08.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
24.08.2026;Прочие операции;SBERPRIME MOSCOW RUS;-399,00;RUB
27.08.2026;Прочие операции;APPLE.COM/BILL ITUNES.COM;-199,00;RUB
29.08.2026;Аптеки;APTEKA.RU;-1093,71;RUB
29.08.2026;Транспорт;EKARTA POPOLNENIE;-899,74;RUB
29.08.2026;Транспорт;EKARTA POPOLNENIE;-3019,14;RUB
30.08.2026;Транспорт;EKARTA POPOLNENIE;-2262,93;RUB
31.08.2026;Маркетплейсы;OZON.RU MOSCOW;-2789,53;RUB
