Дата операции;Категория;Описание операции;Сумма;Валюта
18.06.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-4370,24;RUB
19.06.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-745,75;RUB
21.06.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-231,03;RUB
22.06.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
23.06.2026;Транспорт;YANDEX GO MOSCOW RUS;-2296,23;RUB
25.06.2026;Аптеки;APTEKA ZHIVIKA 45;-1392,41;RUB
25.06.2026;Прочие операции;СберПрайм;-399,00;RUB
26.06.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-4532,29;RUB
27.06.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-2153,19;RUB
28.06.2026;Транспорт;EKARTA POPOLNENIE;-2976,05;RUB
29.06.2026;Аптеки;APTEKA ZHIVIKA 45;-1096,28;RUB
01.07.2026;Образование;UCHI.RU MOSCOW RUS;-1490,00;RUB
03.07.2026;Аптеки;APTEKA ZHIVIKA 45;-300,44;RUB
05.07.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
07.07.2026;Развлечения;KINOPOISK MOSCOW RUS;-399,00;RUB
09.07.2026;Связь;MTS PAY MOSCOW RUS;-650,00;RUB
10.07.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
10.07.2026;Транспорт;EKARTA POPOLNENIE;-837,29;RUB
13.07.2026;Развлечения;OKKO.TV MOSCOW RUS;-499,00;RUB
14.07.2026;Супермаркеты;PEREKRESTOK 77 EKATERINBURG;-1895,43;RUB
14.07.2026;Транспорт;EKARTA POPOLNENIE;-2022,39;RUB
18.07.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-4782,29;RUB
20.07.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-3760,34;RUB
22.07.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
22.07.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-962,78;RUB
22.07.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-3480,60;RUB
24.07.2026;Аптеки;APTEKA.RU;-1720,56;RUB
27.07.2026;Прочие операции;SBERPRIME MOSCOW RUS;-399,00;RUB
03.08.2026;Образование;ООО УЧИ.РУ;-1490,00;RUB
05.08.2026;Переводы;Перевод по СБП Смирнова А.В.;-25000,00;RUB
05.08.2026;Аптеки;APTEKA.RU;-949,33;RUB
06.08.2026;Маркетплейсы;OZON.RU MOSCOW;-2899,34;RUB
06.08.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-4966,44;RUB
07.08.2026;Развлечения;Кинопоиск;-399,00;RUB
09.08.2026;Транспорт;EKARTA POPOLNENIE;-2137,99;RUB
10.08.2026;Зачисления;Зачисление заработной платы;68000,00;RUB
10.08.2026;Связь;MTS PAY MOSCOW RUS;-650,00;RUB
12.08.2026;Развлечения;OKKO.TV MOSCOW RUS;-499,00;RUB
13.08.2026;Кафе и рестораны;VKUSNO I TOCHKA 0452;-377,13;RUB
18.08.2026;ЖКХ;ERC EKATERINBURG KOMMUNALNYE USLUGI;-4029,00;RUB
18.08.2026;Маркетплейсы;WILDBERRIES MOSCOW RUS;-5540,23;RUB
18.08.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-526,22;RUB
19.08.2026;Аптеки;APTEKA.RU;-456,13;RUB
20.08.2026;Кафе и рестораны;SHOKOLADNITSA EKATERINBURG;-611,49;RUB
21.08.2026;Кафе и рестораны;COFFEE LIKE EKB;-563,30;RUB
21.08.2026;Маркетплейсы;OZON.RU MOSCOW;-1860,10;RUB
22.08.2026;Наличные;Снятие наличных ATM SBERBANK 60123;-5000,00;RUB
22.08.2026;Супермаркеты;PYATEROCHKA 1234 EKATERINBURG RUS;-1258,49;RUB
22.08.2026;Маркетплейсы;OZON.RU MOSCOW;-3206,57;RUB
22.08.2026;Кафе и рестораны;VKUSNO I TOCHKA 0452;-454,06;RUB
23.08.2026;Маркетплейсы;OZON.RU MOSCOW;-3781,49;RUB
25.08.2026;Прочие операции;СберПрайм;-399,00;RUB
27.08.2026;Маркетплейсы;OZON.RU MOSCOW;-4282,37;RUB
